begin	m_id	default	user
2016-01-01 13:45:56	componentrules	Error component	1
2016-01-01 13:45:56	measurerules	A measure is required !	1
2016-01-01 13:45:56	passwordrules	Password must contain at least eight characters! !	1
2016-01-01 13:45:56	sensorrules	A sensor is required !	1
2016-01-01 13:45:56	batchrules1	A Batch source is required !	1
2016-01-01 13:45:56	batchrules2	A Batch target is required !	1
2016-01-01 13:45:56	batchrules3	The batch target must be different from batch source!	1
2016-01-01 13:45:56	unitrules	An unit is required !	1
2016-01-01 13:45:56	minrules	A Minimum value is required !	1
2016-01-01 13:45:56	steprules	A Precision is required !	1
2016-01-01 13:45:56	maxrules	A Maximum value (greater than Minimum) is required !	1
2016-01-01 13:45:56	channelrules	A channel is required !	1
2016-01-01 13:45:56	datarules	If you enter a value, select a measure	1
2016-01-01 13:45:56	transferrules	The batch is already in this component	1
2016-01-01 13:45:56	transferhierarchy	This object can't be moved to this component	1
2016-01-01 13:45:56	formularules	The formula is not correct	1
2016-01-01 13:45:56	costrules	The cost must be a positive float	1
2016-01-01 13:45:56	quantityrules	The quantity must be a positive float	1
2016-01-01 13:45:56	actualposition	Actual Position 	1
2016-01-01 13:45:56	lapse	Lapse	1
2016-01-01 13:45:56	related	Listing	1
2016-01-01 13:45:56	begin	Begin	1
2016-01-01 13:45:56	group	Group	1
2016-01-01 13:45:56	guse	Group Use	1
2016-01-01 13:45:56	gfunction	Group Function	1
2016-01-01 13:45:56	grecipe	Group Recipe	1
2016-01-01 13:45:56	active	Active	1
2016-01-01 13:45:56	acronym	Acronym	1
2016-01-01 13:45:56	createBackup	Create backup	1
2016-01-01 13:45:56	downloadBackup	Download backup	1
2016-01-01 13:45:56	restore	Restore backup	1
2016-01-01 13:45:56	restoreEmpty	Restore File Missing	1
2016-01-01 13:45:56	restoreError	Restore Error	1
2016-01-01 13:45:56	backupDone	Backup Done	1
2016-01-01 13:45:56	restarting	Restarting	1
2016-01-01 13:45:56	restartingDone	Restart in progress… Please wait a bit and reload this page.	1
2016-01-01 13:45:56	barcode	Barcode	1
2016-01-01 13:45:56	remark	Remark	1
2016-01-01 13:45:56	welcome	Welcome	1
2016-01-01 13:45:56	user	User	1
2016-01-01 13:45:56	file	File	1
2016-01-01 13:45:56	modified	Modified by	1
2016-01-01 13:45:56	createdby	Created by	1
2016-01-01 13:45:56	mail	Email	1
2016-01-01 13:45:56	password	Password	1
2016-01-01 13:45:56	lang	Language	1
2016-01-01 13:45:56	code	Code	1
2016-01-01 13:45:56	addgroup	Add to group :	1
2016-01-01 13:45:56	removegroup	Remove from group :	1
2016-01-01 13:45:56	place	Place	1
2016-01-01 13:45:56	equipment	Equipment	1
2016-01-01 13:45:56	checkpoint	Checkpoint	1
2016-01-01 13:45:56	container	Container	1
2016-01-01 13:45:56	batch	Batch	1
2016-01-01 13:45:56	manualdata	Observation	1
2016-01-01 13:45:56	manualdatamodel	Observation Model	1
2016-01-01 13:45:56	transfer	Transfer	1
2016-01-01 13:45:56	measure	Measure	1
2016-01-01 13:45:56	sensor	Sensor	1
2016-01-01 13:45:56	backup	Backup	1
2016-01-01 13:45:56	updateELSA	Update ELSA	1
2016-01-01 13:45:56	startUpdate	Update ELSA	1
2016-01-01 13:45:56	alarm	Alarm	1
2016-01-01 13:45:56	createe	Add a new equipment	1
2016-01-01 13:45:56	createtm	Add a new TransferModel	1
2016-01-01 13:45:56	createp	Add a new place	1
2016-01-01 13:45:56	createu	Add a new user	1
2016-01-01 13:45:56	createg	Add a new group	1
2016-01-01 13:45:56	createc	Add a new container	1
2016-01-01 13:45:56	createm	Add a new measure	1
2016-01-01 13:45:56	created	Add a new manual measure	1
2016-01-01 13:45:56	createcpehm	Add a new sensor	1
2016-01-01 13:45:56	createa	Add a new Alarm	1
2016-01-01 13:45:56	color	Color 	1
2016-01-01 13:45:56	source	Source 	1
2016-01-01 13:45:56	formula	Formula 	1
2016-01-01 13:45:56	unit	Unit 	1
2016-01-01 13:45:56	min	Minimum 	1
2016-01-01 13:45:56	step	Precision 	1
2016-01-01 13:45:56	max	Maximum 	1
2016-01-01 13:45:56	component	Component 	1
2016-01-01 13:45:56	subsensor	Subsensor 	1
2016-01-01 13:45:56	valuetype	Value type 	1
2016-01-01 13:45:56	channel	Channel 	1
2016-01-01 13:45:56	graphic	Graphic 	1
2016-01-01 13:45:56	phone	Phone 	1
2016-01-01 13:45:56	relay	Relay 	1
2016-01-01 13:45:56	sound	Sound 	1
2016-01-01 13:45:56	minmin	Min --- 	1
2016-01-01 13:45:56	min	Min 	1
2016-01-01 13:45:56	info	Info 	1
2016-01-01 13:45:56	data	Data 	1
2016-01-01 13:45:56	typical	Typical 	1
2016-01-01 13:45:56	max	Max 	1
2016-01-01 13:45:56	mpouring	Pouring(s) 	1
2016-01-01 13:45:56	mtransfer	Transfer(s) 	1
2016-01-01 13:45:56	mdata	Observation(s)	1
2016-01-01 13:45:56	maxmax	Max +++ 	1
2016-01-01 13:45:56	typical	Typical 	1
2016-01-01 13:45:56	phone	Phone  	1
2016-01-01 13:45:56	add	Add	1
2016-01-01 13:45:56	edit	Edit	1
2016-01-01 13:45:56	alarmtitle	{0}  {1}    {2}    {3} {4} {5} {6}    {7}	1
2016-01-01 13:45:56	alarmmanualtitle	ManualData : {0} {1} in {2}	1
2016-01-01 13:45:56	alarmpouringtitle	Pouring from {0} {1} to {2} {3}	1
2016-01-01 13:45:56	alarmmessage	"Alarm from {0}
{1} :
     Name : {2}
     Acronym : {3}
Sensor :
     Name : {4}
     Acronym : {5}
     Value : {6}
     Type Alarm : {7}
Time : {8}
Degree : {9}"	1
2016-01-01 13:45:56	alarmmanual	"Manual Data from {0}
{1} :
     Name : {2}
     Acronym : {3}
ManualData :
     Value : {4} {5}
     Remark : {6}
Time : {7}"	1
2016-01-01 13:45:56	alarmpouring	"Alarm from {0}
Pouring from Batch :
     Name : {1}
     Acronym : {2}
To Batch :
     Name : {3}
     Acronym : {4}
Quantity : {5} {6}
Remark : {7}
Time : {8}"	1
